Confirmed,Deaths,Recovered,Net_Confirmed,Date_String
0.0,0.0,0.0,0,2020-01-22
0.0,0.0,0.0,0,2020-01-23
0.0,0.0,0.0,0,2020-01-24
0.0,0.0,0.0,0,2020-01-25
0.0,0.0,0.0,0,2020-01-26
0.0,0.0,0.0,0,2020-01-27
0.0,0.0,0.0,0,2020-01-28
0.0,0.0,0.0,0,2020-01-29
0.0,0.0,0.0,0,2020-01-30
2.0,0.0,0.0,2,2020-01-31
2.0,0.0,0.0,2,2020-02-01
2.0,0.0,0.0,2,2020-02-02
2.0,0.0,0.0,2,2020-02-03
2.0,0.0,0.0,2,2020-02-04
2.0,0.0,0.0,2,2020-02-05
2.0,0.0,0.0,2,2020-02-06
3.0,0.0,0.0,3,2020-02-07
3.0,0.0,0.0,3,2020-02-08
3.0,0.0,0.0,3,2020-02-09
3.0,0.0,0.0,3,2020-02-10
3.0,0.0,0.0,3,2020-02-11
3.0,0.0,0.0,3,2020-02-12
3.0,0.0,0.0,3,2020-02-13
3.0,0.0,0.0,3,2020-02-14
3.0,0.0,0.0,3,2020-02-15
3.0,0.0,0.0,3,2020-02-16
3.0,0.0,0.0,3,2020-02-17
3.0,0.0,0.0,3,2020-02-18
3.0,0.0,0.0,3,2020-02-19
3.0,0.0,0.0,3,2020-02-20
20.0,1.0,0.0,19,2020-02-21
62.0,2.0,1.0,59,2020-02-22
155.0,3.0,2.0,150,2020-02-23
229.0,7.0,1.0,221,2020-02-24
322.0,10.0,1.0,311,2020-02-25
453.0,12.0,3.0,438,2020-02-26
655.0,17.0,45.0,593,2020-02-27
888.0,21.0,46.0,821,2020-02-28
1128.0,29.0,46.0,1053,2020-02-29
1694.0,34.0,83.0,1577,2020-03-01
2036.0,52.0,149.0,1835,2020-03-02
2502.0,79.0,160.0,2263,2020-03-03
3089.0,107.0,276.0,2706,2020-03-04
3858.0,148.0,414.0,3296,2020-03-05
4636.0,197.0,523.0,3916,2020-03-06
5883.0,233.0,589.0,5061,2020-03-07
7375.0,366.0,622.0,6387,2020-03-08
9172.0,463.0,724.0,7985,2020-03-09
10149.0,631.0,724.0,8794,2020-03-10
12462.0,827.0,1045.0,10590,2020-03-11
12462.0,827.0,1045.0,10590,2020-03-12
17660.0,1266.0,1439.0,14955,2020-03-13
21157.0,1441.0,1966.0,17750,2020-03-14
24747.0,1809.0,2335.0,20603,2020-03-15
27980.0,2158.0,2749.0,23073,2020-03-16
31506.0,2503.0,2941.0,26062,2020-03-17
35713.0,2978.0,4025.0,28710,2020-03-18
41035.0,3405.0,4440.0,33190,2020-03-19
47021.0,4032.0,4440.0,38549,2020-03-20
53578.0,4825.0,6072.0,42681,2020-03-21
59138.0,5476.0,7024.0,46638,2020-03-22
63927.0,6077.0,7432.0,50418,2020-03-23
69176.0,6820.0,8326.0,54030,2020-03-24
74386.0,7503.0,9362.0,57521,2020-03-25
80589.0,8215.0,10361.0,62013,2020-03-26
86498.0,9134.0,10950.0,66414,2020-03-27
92472.0,10023.0,12384.0,70065,2020-03-28
97689.0,10779.0,13030.0,73880,2020-03-29
101739.0,11591.0,14620.0,75528,2020-03-30
105792.0,12428.0,15729.0,77635,2020-03-31
110574.0,13155.0,16847.0,80572,2020-04-01
115242.0,13915.0,18278.0,83049,2020-04-02
119827.0,14681.0,19758.0,85388,2020-04-03
124632.0,15362.0,20996.0,88274,2020-04-04
128948.0,15887.0,21815.0,91246,2020-04-05
132547.0,16523.0,22837.0,93187,2020-04-06
135586.0,17127.0,24392.0,94067,2020-04-07
139422.0,17669.0,26491.0,95262,2020-04-08
143626.0,18279.0,28470.0,96877,2020-04-09
147577.0,18849.0,30455.0,98273,2020-04-10
152271.0,19468.0,32534.0,100269,2020-04-11
156363.0,19899.0,34211.0,102253,2020-04-12
159516.0,20465.0,35435.0,103616,2020-04-13
162488.0,21067.0,37130.0,104291,2020-04-14
165155.0,21645.0,38092.0,105418,2020-04-15
168941.0,22170.0,40164.0,106607,2020-04-16
172434.0,22745.0,42727.0,106962,2020-04-17
175925.0,23227.0,44927.0,107771,2020-04-18
178972.0,23660.0,47055.0,108257,2020-04-19
181228.0,24114.0,48877.0,108237,2020-04-20
183957.0,24648.0,51600.0,107709,2020-04-21
187327.0,25085.0,54543.0,107699,2020-04-22
189973.0,25549.0,57576.0,106848,2020-04-23
192994.0,25969.0,60498.0,106527,2020-04-24
195351.0,26384.0,63120.0,105847,2020-04-25
197675.0,26644.0,64928.0,106103,2020-04-26
199414.0,26977.0,66624.0,105813,2020-04-27
201505.0,27359.0,68941.0,105205,2020-04-28
203591.0,27682.0,71252.0,104657,2020-04-29
205463.0,27967.0,75945.0,101551,2020-04-30
207428.0,28236.0,78249.0,100943,2020-05-01
209328.0,28710.0,79914.0,100704,2020-05-02
210717,28884,81654,100179,2020-05-03
